model_name,formula,family,offset,covariance,term,estimate_log,se_log,z,p_value,irr,irr_ci_low,irr_ci_high,n_rows,n_sites,converged,model_aic,notes
P3_eelgrass_plus_basin_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.San Juan]",-0.0722373896803534,0.7629481360775997,-0.0946819138345809,0.9245674841006674,0.9303100235967195,0.2085475390984027,4.150021351228487,3978,133,True,7948.599435828748,Poisson sensitivity: Fig 3 model: eelgrass-at-site association adjusted for basin.
P3_eelgrass_plus_basin_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.South]",-1.7099747360875832,0.8616826772790667,-1.9844599191516374,0.04720459200688652,0.18087036205238663,0.03341194695621584,0.9791134863176657,3978,133,True,7948.599435828748,Poisson sensitivity: Fig 3 model: eelgrass-at-site association adjusted for basin.
P3_eelgrass_plus_basin_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Strait of Georgia]",2.735774120770757,0.47588371704724863,5.748829015931917,8.98636368533964e-09,15.421677056831069,6.068182728695041,39.19264364280846,3978,133,True,7948.599435828748,Poisson sensitivity: Fig 3 model: eelgrass-at-site association adjusted for basin.
P3_eelgrass_plus_basin_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Strait of Juan de Fuca]",2.6949574257424946,0.4579976689064561,5.884216468125577,3.999441111460231e-09,14.804888432737632,6.033326335146574,36.329001504355666,3978,133,True,7948.599435828748,Poisson sensitivity: Fig 3 model: eelgrass-at-site association adjusted for basin.
P3_eelgrass_plus_basin_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Whidbey]",3.6946975848294255,0.4851241451226909,7.615983706387183,2.6169070053927422e-14,40.2334035564152,15.54706278498489,104.11785069117387,3978,133,True,7948.599435828748,Poisson sensitivity: Fig 3 model: eelgrass-at-site association adjusted for basin.
P3_eelgrass_plus_basin_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,SiteHasEelgrassInt,1.8443715881444678,0.5307771824922553,3.4748509336521445,0.0005111373021260831,6.324124386697024,2.2346115875771773,17.897763298443785,3978,133,True,7948.599435828748,Poisson sensitivity: Fig 3 model: eelgrass-at-site association adjusted for basin.
M4_eelgrass_plus_basin_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,Intercept,-3.0053266883119116,0.806734544272601,-3.725298128917598,0.0001950845210529724,0.04952257323964831,0.01018848273613871,0.2407115292620879,3978,133,True,5083.309440851219,Combined model adjusted for basin and row-level habitat.
M4_eelgrass_plus_basin_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Admiralty Inlet]",1.4194138097198732,0.6537617403994617,2.1711484811769233,0.029919950276294963,4.134696011119423,1.1480494180660117,14.891093393145102,3978,133,True,5083.309440851219,Combined model adjusted for basin and row-level habitat.
M4_eelgrass_plus_basin_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Hood Canal]",3.594423736899835,0.7057489515372416,5.093062808057407,3.52324915585029e-07,36.39472100899562,9.126490328098507,145.135278700131,3978,133,True,5083.309440851219,Combined model adjusted for basin and row-level habitat.
M4_eelgrass_plus_basin_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Howe Sound]",0.7288594106772586,0.8762916972997602,0.8317543266964582,0.4055476289920009,2.072715142157982,0.3720820978244129,11.546236934404606,3978,133,True,5083.309440851219,Combined model adjusted for basin and row-level habitat.
